OBJECTID,ANO,CDMUN,NMMUN,NMEST,NMREG,VZHURM3S,VZHRUM3S,VZINDM3S,VZMINM3S,VZTERM3S,VZANIM3S,VZIRRM3S,VZTOTM3S,SHAPE_Length,SHAPE_Area
209,1980,2105500,João Lisboa,MA,REGIÃO NORDESTE,0.02701017,0.04131151,0.00164461,0,0,0.01808802,0.00065358,0.0887079,2.16461880601732,0.216725270874784
210,1980,2105609,Joselândia,MA,REGIÃO NORDESTE,0.01160199,0.01529253,0.00153381,0,0,0.00944301,0.00199647,0.03986781,1.12952867734795,0.0559955049420428
211,1980,2105708,Lago da Pedra,MA,REGIÃO NORDESTE,0.02853088,0.03816122,0.00105648,0,0,0.04975436,0.00023113,0.11773407,2.04999840608442,0.19666114363755
212,1980,2105807,Lago do Junco,MA,REGIÃO NORDESTE,0.0123485,0.01815618,0.00063432,0,0,0.02130675,2.569e-05,0.05247144,0.989940588296402,0.0447326105929968
213,1980,2105906,Lago Verde,MA,REGIÃO NORDESTE,0.00720869,0.00973476,7.148e-05,0,0,0.00697497,0.00106912,0.02505902,1.25197307841306,0.0336395267837241
214,1980,2106003,Lima Campos,MA,REGIÃO NORDESTE,0.01198541,0.00992327,0.000653,0,0,0.00835434,0,0.03091602,0.900475366022826,0.0321971170775631
215,1980,2106102,Loreto,MA,REGIÃO NORDESTE,0.00414341,0.00698915,0.00016229,0,0,0.01577092,0.00147972,0.0285455,3.04421380007624,0.294138495015159
216,1980,2106201,Luís Domingues,MA,REGIÃO NORDESTE,0.00919886,0.00378185,0.00023377,0,0,0.00212921,0,0.01534369,2.23888362879422,0.0661303476459442
217,1980,2106300,Magalhães de Almeida,MA,REGIÃO NORDESTE,0.01494129,0.00803557,7.148e-05,0,0,0.00943659,0.00010952,0.03259445,1.05824841459091,0.0465340044145581
218,1980,2106409,Mata Roma,MA,REGIÃO NORDESTE,0.00645516,0.00925159,0.00048231,0,0,0.00454326,9.05e-06,0.02074137,1.08403016751483,0.046477429372481
219,1980,2106508,Matinha,MA,REGIÃO NORDESTE,0.0062799,0.01498032,0.00034033,0,0,0.01781118,0.00040334,0.03981507,1.13363994681436,0.0377844358197146
220,1980,2106607,Matões,MA,REGIÃO NORDESTE,0.00746142,0.02497632,8.191e-05,0,0,0.01861307,0,0.05113272,2.08265566319063,0.147083313056119
221,1980,2106706,Mirador,MA,REGIÃO NORDESTE,0.01001926,0.01484033,0.00034423,0,0,0.01655352,0.00014523,0.04190257,4.75795374115517,0.693779012993163
222,1980,2106805,Mirinzal,MA,REGIÃO NORDESTE,0.00892727,0.01542248,0.00279551,0,0,0.01010298,4.728e-05,0.03729552,1.64573122064007,0.0816635356095473
223,1980,2106904,Monção,MA,REGIÃO NORDESTE,0.0124734,0.07286712,0.0089446,0,0,0.04131057,0.00136362,0.13695931,4.43265750080681,0.454227571920775
224,1980,2107001,Montes Altos,MA,REGIÃO NORDESTE,0.01133329,0.01578364,0.00014296,0.00037091,0,0.03068987,0.00029613,0.05861679,3.11088477585899,0.274070869046099
225,1980,2107100,Morros,MA,REGIÃO NORDESTE,0.01180214,0.01652872,0.00061199,0,0,0.00506694,0,0.0340098,2.13561503820724,0.158804492641762
226,1980,2107209,Nina Rodrigues,MA,REGIÃO NORDESTE,0.00243878,0.00825149,0,0,0,0.00706924,1.259e-05,0.01777211,1.49534315730509,0.0454222285124949
227,1980,2107308,Nova Iorque,MA,REGIÃO NORDESTE,0.00537608,0.0036489,0,0,0,0.0071879,0,0.01621287,1.75979631128759,0.0788187360726463
228,1980,2107407,Olho d'Água das Cunhãs,MA,REGIÃO NORDESTE,0.00661563,0.01316339,0.00050037,0,0,0.0303646,0.00071084,0.05135483,0.942446758814352,0.0462717387008383
229,1980,2107506,Paço do Lumiar,MA,REGIÃO NORDESTE,0.00106795,0.01919958,0.00029194,3.4e-07,0,0.00308316,0.00186327,0.02550624,0.903851143139617,0.0149732050639047
230,1980,2107605,Palmeirândia,MA,REGIÃO NORDESTE,0.00592535,0.01474679,0.00023624,0,0,0.0091576,0,0.03006599,1.47691528597717,0.0325833155783972
231,1980,2107704,Paraibano,MA,REGIÃO NORDESTE,0.02124453,0.00787785,0.00153707,0,0,0.00696748,1.871e-05,0.03764563,0.897647998805899,0.0435053428187933
232,1980,2107803,Parnarama,MA,REGIÃO NORDESTE,0.0094008,0.03530474,0.0004584,0,0,0.02453092,0.00014337,0.06983823,2.96641248289473,0.292746098740353
233,1980,2107902,Passagem Franca,MA,REGIÃO NORDESTE,0.00882493,0.02211111,0.0003596,0,0,0.0251665,2.44e-06,0.05646459,2.40448912596263,0.207816636919893
234,1980,2108009,Pastos Bons,MA,REGIÃO NORDESTE,0.01942459,0.01098722,0.00081637,0,0,0.01069214,0,0.04192032,2.05108662578743,0.141884726403459
235,1980,2108108,Paulo Ramos,MA,REGIÃO NORDESTE,0.00923617,0.02746299,0.00030818,0,0,0.03205738,0.00299495,0.07205966,2.37750856929023,0.203430002674795
236,1980,2108207,Pedreiras,MA,REGIÃO NORDESTE,0.15355988,0.01965215,0.01507175,0,0,0.01404749,0.00042391,0.20275518,1.85341735014293,0.0705604266696773
237,1980,2108306,Penalva,MA,REGIÃO NORDESTE,0.02302497,0.02316033,0.00268006,0,0,0.03530382,0.00032673,0.0844959,1.43258146659804,0.0683346979110133
238,1980,2108405,Peri Mirim,MA,REGIÃO NORDESTE,0.00948696,0.01073696,0.00093988,0,0,0.01744201,4.231e-05,0.03864811,1.07238051632293,0.0304564766207154
239,1980,2108504,Pindaré-Mirim,MA,REGIÃO NORDESTE,0.05149558,0.01715215,0.00445287,0,0,0.01101469,0,0.08411529,1.32246990965762,0.0327431178930666
240,1980,2108603,Pinheiro,MA,REGIÃO NORDESTE,0.08643945,0.05664106,0.00417361,0,0,0.07915702,0.00016925,0.22658039,4.40753924202138,0.315868191029112
241,1980,2108702,Pio XII,MA,REGIÃO NORDESTE,0.01951812,0.02029323,0.00016164,0,0,0.01970875,7.123e-05,0.05975297,1.15335944326998,0.0438758375515978
